payment_id,order_id,payment_type,amount
117,117,Gift Card,302.79
118,118,Credit Card,856.38
119,119,Paypal,318.42
120,120,Gift Card,501.14
121,121,Credit Card,177.3
122,122,Credit Card,80.52
123,123,Gift Card,127.8
124,124,Credit Card,220.06
125,125,Gift Card,236.63
126,126,Gift Card,226.16
127,127,Credit Card,100.93
128,128,Credit Card,162.68
129,129,Gift Card,181.6
130,130,Paypal,291.12
131,131,Gift Card,397.26
132,132,Gift Card,452.01
133,133,Paypal,243.48
134,134,Paypal,213.52
135,135,Gift Card,244.02
136,136,Gift Card,601.32
137,137,Paypal,556.5
138,138,Paypal,175.76
139,139,Gift Card,36.83
140,140,Credit Card,511.74
141,141,Gift Card,110.75
142,142,Paypal,368.46
143,143,Gift Card,175.76
144,144,Paypal,19.89
145,145,Paypal,364.66
146,146,Gift Card,250.57
147,147,Paypal,640.56
148,148,Paypal,131.12
149,149,Credit Card,285.46
150,150,Paypal,483.3
151,151,Gift Card,313.4
152,152,Paypal,430.82
153,153,Credit Card,279.08
154,154,Credit Card,189.72
155,155,Paypal,138.45
156,156,Gift Card,159.21
157,157,Gift Card,26.99
158,158,Credit Card,115.49
159,159,Paypal,229.43
160,160,Paypal,501.14
161,161,Credit Card,156.7
162,162,Paypal,263.64
163,163,Gift Card,120.84
164,164,Credit Card,119.66
165,165,Paypal,96.95
166,166,Paypal,432.9
167,167,Credit Card,660.18
168,168,Credit Card,226.16
169,169,Paypal,93.33
170,170,Paypal,440.46
171,171,Gift Card,135.28
172,172,Gift Card,226.16
173,173,Credit Card,400.88
174,174,Paypal,332.56
175,175,Credit Card,181.38
176,176,Gift Card,470.1
177,177,Paypal,330.2
178,178,Credit Card,56.1
179,179,Paypal,846.45
180,180,Paypal,117.28
181,181,Paypal,131.12
182,182,Paypal,82.0
183,183,Gift Card,59.1
184,184,Paypal,302.91
185,185,Paypal,58.64
186,186,Paypal,46.57
187,187,Paypal,159.8
188,188,Paypal,330.72
189,189,Paypal,393.36
190,190,Paypal,96.95
191,191,Gift Card,40.28
192,192,Paypal,189.72
193,193,Credit Card,63.62
194,194,Gift Card,458.86
195,195,Gift Card,51.02
196,196,Credit Card,22.14
197,197,Credit Card,453.24
198,198,Credit Card,110.24
199,199,Gift Card,58.64
200,200,Credit Card,59.53
201,201,Gift Card,94.86
202,202,Credit Card,36.68
203,203,Gift Card,232.52
204,204,Gift Card,697.32
205,205,Gift Card,404.52
206,206,Paypal,193.08
207,207,Paypal,93.33
208,208,Gift Card,179.76
209,209,Paypal,232.81
210,210,Paypal,846.45
211,211,Gift Card,33.81
212,212,Paypal,544.14
213,213,Credit Card,279.08
214,214,Paypal,182.33
215,215,Credit Card,239.32
216,216,Paypal,660.69
217,217,Credit Card,316.84
218,218,Gift Card,182.36
219,219,Gift Card,856.38
220,220,Paypal,440.46
221,221,Paypal,498.96
222,222,Gift Card,660.69
223,223,Paypal,135.28
224,224,Credit Card,873.09
225,225,Credit Card,62.22
226,226,Credit Card,139.71
227,227,Paypal,290.22
228,228,Gift Card,440.46
229,229,Credit Card,22.14
230,230,Gift Card,118.2
231,231,Paypal,132.42
232,232,Gift Card,291.03
233,233,Paypal,233.66
234,234,Credit Card,800.19
235,235,Paypal,440.12
236,236,Credit Card,202.92
237,237,Gift Card,232.44
238,238,Credit Card,92.3
239,239,Paypal,546.99
240,240,Gift Card,193.9
241,241,Gift Card,709.89
242,242,Credit Card,546.5
243,243,Paypal,236.63
244,244,Gift Card,232.52
245,245,Gift Card,467.32
246,246,Gift Card,177.3
247,247,Credit Card,18.7
248,248,Gift Card,181.38
249,249,Paypal,229.43
250,250,Gift Card,220.48
251,251,Credit Card,486.96
252,252,Credit Card,393.36
253,253,Paypal,646.23
254,254,Paypal,37.5
255,255,Paypal,427.04
256,256,Credit Card,440.12
257,257,Gift Card,869.58
258,258,Credit Card,477.63
259,259,Paypal,205.22
260,260,Paypal,700.98
261,261,Gift Card,200.44
262,262,Gift Card,239.32
263,263,Gift Card,302.79
264,264,Gift Card,53.68
265,265,Gift Card,233.66
266,266,Credit Card,498.96
267,267,Gift Card,330.2
268,268,Credit Card,486.96
269,269,Credit Card,264.84
270,270,Credit Card,12.5
271,271,Credit Card,36.68
272,272,Credit Card,135.28
273,273,Credit Card,177.3
274,274,Paypal,48.38
275,275,Credit Card,748.44
276,276,Paypal,110.24
277,277,Paypal,18.7
278,278,Credit Card,259.62
279,279,Gift Card,159.8
280,280,Credit Card,544.8
281,281,Credit Card,501.14
282,282,Paypal,232.44
283,283,Credit Card,44.26
284,284,Paypal,546.99
285,285,Gift Card,330.72
286,286,Paypal,660.69
287,287,Gift Card,181.6
288,288,Paypal,182.36
289,289,Paypal,332.56
290,290,Paypal,53.68
291,291,Gift Card,660.69
292,292,Credit Card,151.08
293,293,Paypal,272.73
294,294,Paypal,620.55
295,295,Credit Card,78.36
296,296,Gift Card,117.54
297,297,Credit Card,501.14
298,298,Credit Card,131.12
299,299,Credit Card,427.76
300,300,Paypal,96.74
301,301,Credit Card,318.42
302,302,Gift Card,139.71
303,303,Gift Card,37.5
304,304,Paypal,110.24
305,305,Credit Card,100.97
306,306,Gift Card,236.63
307,307,Gift Card,67.62
308,308,Gift Card,193.48
309,309,Paypal,110.24
310,310,Gift Card,748.44
311,311,Paypal,175.76
312,312,Gift Card,569.84
313,313,Credit Card,592.26
314,314,Credit Card,273.25
315,315,Gift Card,296.13
316,316,Credit Card,296.13
317,317,Paypal,220.94
318,318,Credit Card,131.12
319,319,Credit Card,153.09
320,320,Credit Card,830.85
321,321,Paypal,59.1
322,322,Paypal,119.06
323,323,Paypal,62.81
324,324,Paypal,123.0
325,325,Credit Card,498.84
326,326,Credit Card,62.22
327,327,Gift Card,55.02
328,328,Gift Card,51.03
329,329,Paypal,102.06
330,330,Paypal,91.18
331,331,Gift Card,63.62
332,332,Gift Card,193.48
333,333,Credit Card,36.83
334,334,Paypal,620.55
335,335,Credit Card,40.28
336,336,Paypal,92.3
337,337,Gift Card,498.96
338,338,Gift Card,553.9
339,339,Paypal,159.8
340,340,Paypal,269.68
341,341,Credit Card,430.82
342,342,Paypal,59.53
343,343,Credit Card,748.44
344,344,Credit Card,131.12
345,345,Credit Card,117.28
346,346,Gift Card,13.26
347,347,Paypal,220.23
348,348,Gift Card,748.44
349,349,Paypal,193.48
350,350,Credit Card,465.62
351,351,Credit Card,386.16
352,352,Gift Card,296.13
353,353,Credit Card,491.12
354,354,Gift Card,358.98
355,355,Paypal,239.32
356,356,Paypal,127.24
357,357,Gift Card,556.5
358,358,Credit Card,175.76
359,359,Paypal,260.52
360,360,Gift Card,291.03
361,361,Paypal,284.92
362,362,Credit Card,330.72
363,363,Gift Card,440.12
364,364,Gift Card,166.28
365,365,Paypal,332.25
366,366,Credit Card,440.46
367,367,Paypal,601.32
368,368,Paypal,12.5
369,369,Credit Card,94.86
370,370,Gift Card,151.08
371,371,Paypal,781.56
372,372,Gift Card,544.8
373,373,Credit Card,220.06
374,374,Paypal,153.06
375,375,Paypal,94.75
376,376,Credit Card,96.95
377,377,Credit Card,162.68
378,378,Gift Card,697.32
379,379,Credit Card,213.52
380,380,Gift Card,181.6
381,381,Paypal,393.36
382,382,Paypal,519.24
383,383,Paypal,546.5
384,384,Paypal,166.28
385,385,Paypal,751.71
386,386,Credit Card,362.76
387,387,Paypal,244.02
388,388,Gift Card,601.32
389,389,Gift Card,282.15
390,390,Paypal,162.68
391,391,Gift Card,260.52
392,392,Credit Card,193.48
393,393,Paypal,110.6
394,394,Gift Card,110.6
395,395,Credit Card,368.46
396,396,Credit Card,205.22
397,397,Gift Card,404.52
398,398,Credit Card,220.06
399,399,Gift Card,33.21
400,400,Gift Card,533.46
401,401,Credit Card,182.33
402,402,Paypal,269.68
403,403,Paypal,58.64
404,404,Credit Card,819.75
405,405,Paypal,46.15
406,406,Paypal,220.94
407,407,Paypal,26.99
408,408,Credit Card,151.08
409,409,Gift Card,51.03
410,410,Gift Card,36.68
411,411,Paypal,96.74
412,412,Gift Card,181.38
413,413,Paypal,19.89
414,414,Paypal,165.1
415,415,Paypal,806.91
416,416,Gift Card,579.72
417,417,Paypal,220.94
418,418,Paypal,432.9
419,419,Gift Card,358.98
420,420,Paypal,440.12
421,421,Credit Card,220.94
422,422,Paypal,41.0
423,423,Gift Card,498.84
424,424,Paypal,245.56
425,425,Gift Card,178.59
426,426,Credit Card,151.08
427,427,Paypal,736.68
428,428,Paypal,250.57
429,429,Paypal,498.96
430,430,Credit Card,250.57
431,431,Paypal,266.73
432,432,Gift Card,440.46
433,433,Credit Card,63.9
434,434,Gift Card,546.5
435,435,Paypal,110.24
436,436,Gift Card,263.64
437,437,Credit Card,393.36
438,438,Credit Card,100.93
439,439,Credit Card,273.25
440,440,Credit Card,46.15
441,441,Credit Card,332.25
442,442,Credit Card,206.85
443,443,Credit Card,290.85
444,444,Paypal,553.9
445,445,Credit Card,709.89
446,446,Credit Card,330.72
447,447,Gift Card,377.74
448,448,Credit Card,641.64
449,449,Credit Card,26.99
450,450,Credit Card,156.7
451,451,Credit Card,284.58
452,452,Gift Card,284.92
453,453,Credit Card,66.39
454,454,Gift Card,206.85
455,455,Paypal,245.56
456,456,Gift Card,700.98
457,457,Credit Card,179.76
458,458,Credit Card,117.54
459,459,Gift Card,150.67
460,460,Gift Card,291.12
461,461,Paypal,430.82
462,462,Gift Card,427.04
463,463,Paypal,751.71
464,464,Gift Card,440.12
465,465,Credit Card,819.75
466,466,Gift Card,579.72
467,467,Credit Card,182.33
468,468,Credit Card,19.89
469,469,Gift Card,724.95
470,470,Credit Card,119.66
471,471,Credit Card,544.14
472,472,Gift Card,191.7
473,473,Credit Card,162.68
474,474,Credit Card,641.64
475,475,Credit Card,23.75
476,476,Gift Card,413.7
477,477,Credit Card,175.76
478,478,Credit Card,206.85
479,479,Paypal,276.95
480,480,Gift Card,193.48
481,481,Credit Card,888.39
482,482,Credit Card,82.0
483,483,Credit Card,236.63
484,484,Gift Card,537.94
485,485,Credit Card,233.66
486,486,Paypal,48.38
487,487,Paypal,117.54
488,488,Gift Card,330.2
489,489,Gift Card,36.68
490,490,Credit Card,100.93
491,491,Paypal,131.12
492,492,Credit Card,232.81
493,493,Gift Card,226.16
494,494,Paypal,662.82
495,495,Gift Card,259.62
496,496,Gift Card,40.28
497,497,Credit Card,93.14
498,498,Paypal,113.08
499,499,Paypal,736.68
500,500,Gift Card,330.72
501,501,Gift Card,156.7
502,502,Gift Card,96.74
503,503,Credit Card,301.34
504,504,Paypal,302.91
505,505,Credit Card,869.58
506,506,Gift Card,188.87
507,507,Credit Card,53.98
508,508,Credit Card,332.25
509,509,Credit Card,37.5
510,510,Credit Card,553.9
511,511,Paypal,13.26
512,512,Credit Card,511.74
513,513,Gift Card,778.86
514,514,Gift Card,521.04
515,515,Credit Card,139.71
516,516,Gift Card,236.63
517,517,Credit Card,96.95
518,518,Gift Card,201.94
519,519,Credit Card,264.84
520,520,Credit Card,368.46
521,521,Credit Card,90.91
522,522,Paypal,452.01
523,523,Credit Card,193.08
524,524,Credit Card,393.36
525,525,Paypal,206.85
526,526,Gift Card,830.85
527,527,Gift Card,282.15
528,528,Paypal,82.0
529,529,Gift Card,182.33
530,530,Paypal,566.61
531,531,Gift Card,63.9
532,532,Gift Card,282.15
533,533,Paypal,289.86
534,534,Credit Card,189.72
535,535,Paypal,102.61
536,536,Paypal,371.0
537,537,Paypal,48.38
538,538,Gift Card,193.08
539,539,Credit Card,232.52
540,540,Gift Card,184.23
541,541,Credit Card,700.98
542,542,Gift Card,184.23
543,543,Gift Card,117.28
544,544,Paypal,90.91
545,545,Paypal,418.62
546,546,Credit Card,181.6
547,547,Credit Card,165.9
548,548,Credit Card,404.52
549,549,Credit Card,100.97
550,550,Paypal,498.96
551,551,Paypal,190.86
552,552,Gift Card,276.95
553,553,Credit Card,181.38
554,554,Gift Card,205.22
555,555,Paypal,153.09
556,556,Credit Card,709.89
557,557,Gift Card,185.5
558,558,Gift Card,289.86
559,559,Paypal,319.6
560,560,Credit Card,363.2
561,561,Gift Card,854.76
562,562,Gift Card,730.44
563,563,Credit Card,96.74
564,564,Paypal,698.43
565,565,Gift Card,182.36
566,566,Paypal,205.22
567,567,Gift Card,51.02
568,568,Gift Card,458.86
569,569,Gift Card,498.96
570,570,Gift Card,441.88
571,571,Credit Card,521.04
572,572,Gift Card,11.07
573,573,Paypal,41.0
574,574,Gift Card,80.52
575,575,Paypal,413.7
576,576,Paypal,546.99
577,577,Paypal,282.15
578,578,Gift Card,96.95
579,579,Paypal,100.93
580,580,Paypal,96.74
581,581,Paypal,291.12
582,582,Paypal,291.03
583,583,Paypal,229.43
584,584,Paypal,319.6
585,585,Gift Card,552.69
586,586,Gift Card,58.64
587,587,Credit Card,491.12
588,588,Credit Card,464.88
589,589,Gift Card,263.64
590,590,Credit Card,59.1
591,591,Credit Card,139.71
592,592,Gift Card,100.93
593,593,Paypal,427.04
594,594,Paypal,73.66
595,595,Paypal,483.3
596,596,Paypal,48.38
597,597,Paypal,330.72
598,598,Paypal,291.12
599,599,Paypal,184.23
600,600,Paypal,697.56
601,601,Paypal,59.1
602,602,Credit Card,25.0
603,603,Credit Card,41.0
604,604,Gift Card,30.28
605,605,Paypal,640.56
606,606,Paypal,232.44
607,607,Credit Card,178.59
608,608,Credit Card,150.67
609,609,Paypal,301.34
610,610,Paypal,552.69
611,611,Gift Card,181.38
612,612,Credit Card,313.4
613,613,Paypal,397.26
614,614,Paypal,202.92
615,615,Credit Card,91.18
616,616,Paypal,156.7
617,617,Gift Card,243.48
618,618,Credit Card,62.22
619,619,Credit Card,282.15
620,620,Gift Card,72.57
621,621,Credit Card,660.18
622,622,Credit Card,260.52
623,623,Credit Card,249.48
624,624,Credit Card,80.97
625,625,Paypal,316.84
626,626,Paypal,144.3
627,627,Credit Card,58.64
628,628,Paypal,123.0
629,629,Paypal,296.13
630,630,Credit Card,362.76
631,631,Credit Card,358.98
632,632,Paypal,193.08
633,633,Paypal,165.9
634,634,Credit Card,243.48
635,635,Paypal,132.42
636,636,Gift Card,96.95
637,637,Paypal,239.32
638,638,Credit Card,430.82
639,639,Credit Card,475.26
640,640,Paypal,134.84
641,641,Gift Card,220.94
642,642,Gift Card,205.22
643,643,Paypal,26.84
644,644,Paypal,102.06
645,645,Paypal,232.44
646,646,Credit Card,290.22
647,647,Paypal,22.13
648,648,Gift Card,266.73
649,649,Credit Card,201.86
650,650,Paypal,184.23
651,651,Credit Card,24.19
652,652,Credit Card,465.62
653,653,Paypal,178.59
654,654,Gift Card,404.52
655,655,Paypal,377.74
656,656,Gift Card,288.6
657,657,Paypal,193.9
658,658,Credit Card,386.16
659,659,Credit Card,118.2
660,660,Gift Card,80.97
661,661,Paypal,552.69
662,662,Credit Card,62.22
663,663,Paypal,59.53
664,664,Paypal,570.92
665,665,Credit Card,291.03
666,666,Paypal,48.38
667,667,Gift Card,413.7
668,668,Credit Card,873.36
669,669,Paypal,159.21
670,670,Gift Card,184.23
671,671,Paypal,620.55
672,672,Gift Card,191.7
673,673,Gift Card,556.5
674,674,Paypal,93.33
675,675,Gift Card,259.62
676,676,Credit Card,41.0
677,677,Gift Card,25.0
678,678,Credit Card,205.22
679,679,Gift Card,846.45
680,680,Paypal,153.09
681,681,Paypal,730.44
682,682,Gift Card,22.14
683,683,Paypal,73.66
684,684,Gift Card,498.96
685,685,Credit Card,239.32
686,686,Paypal,464.88
687,687,Gift Card,564.3
688,688,Paypal,30.28
689,689,Credit Card,646.23
690,690,Credit Card,544.14
691,691,Paypal,751.71
692,692,Paypal,556.5
693,693,Paypal,288.6
694,694,Credit Card,284.92
695,695,Credit Card,175.76
696,696,Paypal,182.33
697,697,Gift Card,601.32
698,698,Credit Card,537.94
699,699,Paypal,80.52
700,700,Gift Card,341.16
701,701,Paypal,698.43
702,702,Paypal,232.44
703,703,Gift Card,151.08
704,704,Paypal,18.34
705,705,Gift Card,533.46
706,706,Paypal,181.6
707,707,Gift Card,262.24
708,708,Credit Card,22.13
709,709,Credit Card,102.61
710,710,Paypal,205.22
711,711,Gift Card,226.16
712,712,Gift Card,259.62
713,713,Credit Card,62.22
714,714,Gift Card,102.61
715,715,Gift Card,319.6
716,716,Gift Card,346.47
717,717,Credit Card,700.98
718,718,Credit Card,709.89
719,719,Paypal,778.86
720,720,Gift Card,404.52
721,721,Paypal,41.0
722,722,Credit Card,736.68
723,723,Paypal,33.21
724,724,Gift Card,175.92
725,725,Credit Card,556.5
726,726,Paypal,110.6
727,727,Credit Card,46.57
728,728,Gift Card,646.23
729,729,Paypal,37.5
730,730,Credit Card,71.25
731,731,Gift Card,131.12
732,732,Paypal,189.5
733,733,Paypal,232.52
734,734,Gift Card,386.16
735,735,Gift Card,846.45
736,736,Paypal,123.0
737,737,Credit Card,62.81
738,738,Paypal,85.05
739,739,Paypal,464.88
740,740,Credit Card,319.6
741,741,Paypal,284.92
742,742,Gift Card,182.36
743,743,Credit Card,193.08
744,744,Paypal,440.12
745,745,Credit Card,151.08
746,746,Paypal,94.86
747,747,Credit Card,236.63
748,748,Credit Card,22.14
749,749,Gift Card,537.94
750,750,Credit Card,316.84
751,751,Paypal,113.08
752,752,Paypal,582.06
753,753,Gift Card,332.56
754,754,Paypal,245.56
755,755,Gift Card,539.28
756,756,Credit Card,220.94
757,757,Paypal,441.88
758,758,Paypal,63.62
759,759,Paypal,307.83
760,760,Paypal,110.75
761,761,Gift Card,519.24
762,762,Gift Card,56.1
763,763,Credit Card,582.24
764,764,Gift Card,302.91
765,765,Credit Card,709.89
766,766,Gift Card,284.92
767,767,Gift Card,144.3
768,768,Credit Card,92.3
769,769,Paypal,22.13
770,770,Gift Card,233.66
771,771,Credit Card,117.54
772,772,Gift Card,181.38
773,773,Credit Card,697.56
774,774,Gift Card,854.76
775,775,Gift Card,272.73
776,776,Paypal,582.24
777,777,Credit Card,316.84
778,778,Paypal,92.3
779,779,Paypal,19.89
780,780,Gift Card,118.2
781,781,Credit Card,570.92
782,782,Paypal,215.41
783,783,Paypal,483.3
784,784,Credit Card,553.9
785,785,Credit Card,37.5
786,786,Paypal,55.02
787,787,Credit Card,660.69
788,788,Credit Card,330.72
789,789,Gift Card,177.3
790,790,Gift Card,539.28
791,791,Paypal,430.82
792,792,Credit Card,191.7
793,793,Paypal,418.62
794,794,Paypal,289.86
795,795,Credit Card,189.72
796,796,Paypal,301.34
797,797,Gift Card,220.48
798,798,Paypal,498.84
799,799,Gift Card,284.25
800,800,Credit Card,830.85
801,801,Gift Card,63.9
802,802,Paypal,697.56
803,803,Paypal,156.7
804,804,Credit Card,189.72
805,805,Paypal,511.74
806,806,Paypal,220.23
807,807,Paypal,139.54
808,808,Credit Card,806.91
809,809,Gift Card,226.16
810,810,Gift Card,564.3
811,811,Paypal,264.84
812,812,Paypal,181.6
813,813,Credit Card,33.81
814,814,Gift Card,284.92
815,815,Credit Card,184.23
816,816,Paypal,78.36
817,817,Credit Card,188.43
818,818,Credit Card,55.3
819,819,Credit Card,158.42
820,820,Paypal,427.04
821,821,Gift Card,579.24
822,822,Paypal,307.83
823,823,Paypal,36.68
824,824,Credit Card,22.14
825,825,Paypal,856.38
826,826,Gift Card,119.66
827,827,Paypal,479.4
828,828,Gift Card,302.16
829,829,Credit Card,266.73
830,830,Gift Card,291.03
831,831,Paypal,386.16
832,832,Gift Card,313.4
833,833,Paypal,430.82
834,834,Paypal,178.59
835,835,Credit Card,120.84
836,836,Paypal,181.38
837,837,Gift Card,464.88
838,838,Credit Card,232.52
839,839,Gift Card,24.19
840,840,Paypal,213.88
841,841,Paypal,250.57
842,842,Gift Card,127.24
843,843,Gift Card,260.52
844,844,Credit Card,44.26
845,845,Gift Card,30.28
846,846,Credit Card,552.69
847,847,Gift Card,239.32
848,848,Gift Card,601.32
849,849,Gift Card,53.68
850,850,Credit Card,201.86
851,851,Paypal,465.04
852,852,Credit Card,120.84
853,853,Credit Card,452.01
854,854,Credit Card,51.02
855,855,Credit Card,346.47
856,856,Credit Card,72.57
857,857,Gift Card,263.64
858,858,Credit Card,117.54
859,859,Gift Card,166.28
860,860,Credit Card,620.55
861,861,Credit Card,582.06
862,862,Paypal,201.86
863,863,Paypal,475.26
864,864,Paypal,284.25
865,865,Credit Card,127.24
866,866,Paypal,102.04
867,867,Paypal,213.52
868,868,Credit Card,182.36
869,869,Paypal,569.84
870,870,Paypal,138.45
871,871,Gift Card,175.76
872,872,Credit Card,110.24
873,873,Gift Card,546.5
874,874,Paypal,302.91
875,875,Gift Card,284.25
876,876,Paypal,582.24
877,877,Gift Card,123.0
878,878,Credit Card,40.28
879,879,Gift Card,241.65
880,880,Credit Card,553.9
881,881,Credit Card,264.84
882,882,Paypal,569.84
883,883,Credit Card,175.92
884,884,Credit Card,41.0
885,885,Paypal,51.02
886,886,Credit Card,284.25
887,887,Credit Card,110.24
888,888,Credit Card,486.96
889,889,Gift Card,301.34
890,890,Gift Card,193.9
891,891,Gift Card,276.95
892,892,Credit Card,189.72
893,893,Credit Card,854.76
894,894,Gift Card,332.25
895,895,Gift Card,131.12
896,896,Credit Card,854.76
897,897,Paypal,139.71
898,898,Credit Card,41.0
899,899,Credit Card,553.9
900,900,Credit Card,92.3
901,901,Credit Card,82.0
902,902,Credit Card,232.44
903,903,Credit Card,748.44
904,904,Gift Card,262.24
905,905,Paypal,181.82
906,906,Paypal,63.62
907,907,Paypal,193.48
908,908,Gift Card,188.87
909,909,Gift Card,93.33
910,910,Paypal,22.13
911,911,Credit Card,139.54
912,912,Gift Card,90.91
913,913,Paypal,22.13
914,914,Paypal,56.1
915,915,Credit Card,339.24
916,916,Gift Card,102.06
917,917,Gift Card,358.98
918,918,Gift Card,854.76
919,919,Paypal,371.0
920,920,Gift Card,120.84
921,921,Credit Card,100.97
922,922,Credit Card,276.95
923,923,Credit Card,117.28
924,924,Gift Card,220.48
925,925,Credit Card,102.04
926,926,Credit Card,31.11
927,927,Credit Card,601.32
928,928,Gift Card,40.28
929,929,Paypal,127.24
930,930,Credit Card,748.44
931,931,Paypal,55.02
932,932,Gift Card,110.24
933,933,Credit Card,117.28
934,934,Gift Card,229.43
935,935,Paypal,397.26
936,936,Gift Card,59.1
937,937,Credit Card,81.34
938,938,Paypal,582.24
939,939,Credit Card,127.8
940,940,Credit Card,284.58
941,941,Gift Card,113.08
942,942,Credit Card,46.15
943,943,Gift Card,150.67
944,944,Gift Card,495.3
945,945,Gift Card,869.58
946,946,Paypal,13.26
947,947,Paypal,193.48
948,948,Gift Card,427.04
949,949,Paypal,156.7
950,950,Gift Card,213.52
951,951,Paypal,230.98
952,952,Credit Card,241.65
953,953,Credit Card,25.0
954,954,Gift Card,736.68
955,955,Paypal,226.16
956,956,Paypal,806.91
957,957,Credit Card,213.88
958,958,Paypal,110.6
959,959,Paypal,12.5
960,960,Paypal,330.72
961,961,Credit Card,660.69
962,962,Gift Card,751.71
963,963,Paypal,15.14
964,964,Paypal,181.6
965,965,Credit Card,94.86
966,966,Paypal,193.08
967,967,Gift Card,579.24
968,968,Gift Card,177.3
969,969,Gift Card,582.06
970,970,Gift Card,316.84
971,971,Paypal,220.06
972,972,Credit Card,202.92
973,973,Credit Card,453.24
974,974,Credit Card,272.73
975,975,Credit Card,363.2
976,976,Paypal,22.14
977,977,Credit Card,55.02
978,978,Gift Card,120.84
979,979,Credit Card,290.22
980,980,Credit Card,170.1
981,981,Gift Card,55.02
982,982,Gift Card,778.86
983,983,Gift Card,289.86
984,984,Paypal,232.52
985,985,Gift Card,193.48
986,986,Gift Card,346.47
987,987,Credit Card,45.42
988,988,Gift Card,51.02
989,989,Paypal,47.5
990,990,Paypal,39.18
991,991,Paypal,62.81
992,992,Credit Card,151.08
993,993,Gift Card,170.58
994,994,Gift Card,511.74
995,995,Credit Card,19.89
996,996,Gift Card,94.75
997,997,Paypal,313.4
998,998,Credit Card,44.26
999,999,Gift Card,205.22
1000,1000,Credit Card,189.72
1001,1001,Paypal,151.08
1002,1002,Credit Card,781.56
1003,1003,Credit Card,301.34
1004,1004,Credit Card,213.88
1005,1005,Paypal,465.62
1006,1006,Credit Card,53.68
1007,1007,Paypal,166.28
1008,1008,Gift Card,873.36
1009,1009,Paypal,700.98
1010,1010,Gift Card,24.19
1011,1011,Paypal,273.54
1012,1012,Paypal,184.23
1013,1013,Paypal,12.5
1014,1014,Gift Card,233.66
1015,1015,Credit Card,873.36
1016,1016,Paypal,220.94
1017,1017,Paypal,127.8
1018,1018,Gift Card,556.5
1019,1019,Gift Card,178.59
